FUCNTION NAME;ERRORC
CHECK TOUCH FW;TOUCHF
CHECK TOP LEVEL BOM / ME BOM AND WRITE GUID;TLBOME
CHECK TOP LEVEL BOM;TLBOMF
CHECK TEMPERATURE FEATURE;CTEMPF
CHECK SYSTEM LED;LEDFFF
CHECK SW/FW VERSION;FWFFFF
CHECK SW STATUS;SWT0
CHECK SW INFO;CHECK 
CHECK SSD REMOVAL;SSDREM
CHECK SKU;COUNTR
CHECK SFP THROUGHPUT;1GFFFF
CHECK SFP PKT LOST;SFPPLF
CHECK SENSOR;SENORF
CHECK RJ45 THROUGHPUT;RJ45TH
CHECK RJ45 PORT2 THROUGHPUT;RJ45TH
CHECK RJ45 PORT 2 PKT LOST;RJ45PL
CHECK RESET BUTTON;RESETF
CHECK REGISTRATION DATA;REGDIV
CHECK REGISTRATION;REGFFF
CHECK REGULATORY DOMAIN;DOMAFF
CHECK QRCODE;QRCOFF
CHECK QR_CODE;QRCODE
CHECK QR CODE;QRCOFF
CHECK POWER ADAPTER (DC 210W);DC210W
CHECK PORT LINK AND ETHERNET LEDS (PORT 1-8);LINKFF
CHECK PORT LINK;LINKFF
CHECK PORT 9 POE POWER INPUT (BT3);P9BTFF
CHECK PORT 9 POE POWER INPUT (AT);P9ATFF
CHECK PON SIGNAL LED;PONLED
CHECK POE SET 2 (POE-INJECTOR AND DC-210W);CPO210
CHECK POE SET 1 (POE-BT AND DC-60W);CPOBTF
CHECK POE (POE AT);CPOEAT
CHECK PLC MAC;PLCMFF
CHECK OS VERSION;OSVERF
CHECK OLED;OLEDON
CHECK NFC CHIP ID;NFCFFF
CHECK MULTI-DUT POWER CONSUMPTION;POWERF
CHECK ME BOM;MEB0
CHECK MCU FW VERSION;MCUFWF
CHECK MCU FW;MCUFFF
CHECK MAIN ETHERNET TRAFFIC;ETHSFF
CHECK MAC AND QR CODE;MACQR
CHECK MAC ADDRESS AND QR CODE;MACQR
CHECK MAC ADDRESS;MACADR
CHECK MAC & VERSION;FWV0
CHECK MAC & INFO;MACINF
CHECK MAC;MAC0FF
CHECK LED RING;LEDRED
CHECK LED ALL LIGHT UP;LEDALL
CHECK LED;LEDFAI
CHECK LAN PORT SPEED;CLANSP
CHECK HARDWARE INFO (EMMC, DDR SIZE);FLSH
CHECK G-SENSOR;GSENSO
CHECK GPS;GPSFFF
CHECK FW VERSION;FWVSFF
CHECK FIRMWARE VERSION;FWERFF
CHECK FCD FW VERSION;FCD0
CHECK FACTORY SETTING;FACSET
CHECK ETHERNET THROUGHPUT;ETHERN
CHECK ETHERNET MAC ADDRESS & QR CODE;MACQR
CHECK ETHERNET MAC ADDRESS;MACADR
CHECK DIAG FW VERSION;SWVERF
CHECK CPU/MEM/IO STRESS;CPUFFF
